description,LSOA ID,LSOA name,geometry
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025231<br>
<b>LSOA_NAME:</b> Preston 013A<br>
<b>geometry:</b> -2.733515,53.768856,0.0 -2.732314,53.768702,0.0 -2.731957,53.768995,0.0 -2.732229,53.769184,0.0 -2.731218,53.769347,0.0 -2.731144,53.768899,0.0 -2.730236,53.768966,0.0 -2.729852,53.76876,0.0 -2.730135,53.768491,0.0 -2.728901,53.76841,0.0 -2.73053,53.767114,0.0 -2.730002,53.766796,0.0 -2.729467,53.766944,0.0 -2.729103,53.766496,0.0 -2.729793,53.76617,0.0 -2.730253,53.766524,0.0 -2.730807,53.766354,0.0 -2.731291,53.765352,0.0 -2.729729,53.764828,0.0 -2.730246,53.764188,0.0 -2.7298,53.763977,0.0 -2.731416,53.762829,0.0 -2.73437,53.763028,0.0 -2.735793,53.762981,0.0 -2.74077,53.762783,0.0 -2.740666,53.764921,0.0 -2.740749,53.765641,0.0 -2.742003,53.765269,0.0 -2.743261,53.765725,0.0 -2.74332,53.766152,0.0 -2.74354,53.766645,0.0 -2.742476,53.768242,0.0 -2.741523,53.768769,0.0 -2.73958,53.768637,0.0 -2.739579,53.768605,0.0 -2.740336,53.766747,0.0 -2.737259,53.766047,0.0 -2.735171,53.766018,0.0 -2.734969,53.766412,0.0 -2.735542,53.767039,0.0 -2.734479,53.767859,0.0 -2.735276,53.768722,0.0 -2.736285,53.769015,0.0 -2.735952,53.769378,0.0 -2.734287,53.769407,0.0 -2.733515,53.768856,0.0
</div>",E01025231,Preston 013A,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.733515,53.768856,0.0 -2.732314,53.768702,0.0 -2.731957,53.768995,0.0 -2.732229,53.769184,0.0 -2.731218,53.769347,0.0 -2.731144,53.768899,0.0 -2.730236,53.768966,0.0 -2.729852,53.76876,0.0 -2.730135,53.768491,0.0 -2.728901,53.76841,0.0 -2.73053,53.767114,0.0 -2.730002,53.766796,0.0 -2.729467,53.766944,0.0 -2.729103,53.766496,0.0 -2.729793,53.76617,0.0 -2.730253,53.766524,0.0 -2.730807,53.766354,0.0 -2.731291,53.765352,0.0 -2.729729,53.764828,0.0 -2.730246,53.764188,0.0 -2.7298,53.763977,0.0 -2.731416,53.762829,0.0 -2.73437,53.763028,0.0 -2.735793,53.762981,0.0 -2.74077,53.762783,0.0 -2.740666,53.764921,0.0 -2.740749,53.765641,0.0 -2.742003,53.765269,0.0 -2.743261,53.765725,0.0 -2.74332,53.766152,0.0 -2.74354,53.766645,0.0 -2.742476,53.768242,0.0 -2.741523,53.768769,0.0 -2.73958,53.768637,0.0 -2.739579,53.768605,0.0 -2.740336,53.766747,0.0 -2.737259,53.766047,0.0 -2.735171,53.766018,0.0 -2.734969,53.766412,0.0 -2.735542,53.767039,0.0 -2.734479,53.767859,0.0 -2.735276,53.768722,0.0 -2.736285,53.769015,0.0 -2.735952,53.769378,0.0 -2.734287,53.769407,0.0 -2.733515,53.768856,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025232<br>
<b>LSOA_NAME:</b> Preston 013B<br>
<b>geometry:</b> -2.725251,53.767196,0.0 -2.722901,53.765714,0.0 -2.72039,53.765075,0.0 -2.720737,53.764895,0.0 -2.722816,53.76403,0.0 -2.723366,53.764191,0.0 -2.727189,53.764831,0.0 -2.727271,53.764832,0.0 -2.728208,53.764832,0.0 -2.729729,53.764828,0.0 -2.731291,53.765352,0.0 -2.730807,53.766354,0.0 -2.730253,53.766524,0.0 -2.729793,53.76617,0.0 -2.729103,53.766496,0.0 -2.729467,53.766944,0.0 -2.730002,53.766796,0.0 -2.73053,53.767114,0.0 -2.728901,53.76841,0.0 -2.730135,53.768491,0.0 -2.729852,53.76876,0.0 -2.730236,53.768966,0.0 -2.729876,53.769271,0.0 -2.729732,53.769223,0.0 -2.727863,53.768508,0.0 -2.727267,53.768247,0.0 -2.725251,53.767196,0.0
</div>",E01025232,Preston 013B,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.725251,53.767196,0.0 -2.722901,53.765714,0.0 -2.72039,53.765075,0.0 -2.720737,53.764895,0.0 -2.722816,53.76403,0.0 -2.723366,53.764191,0.0 -2.727189,53.764831,0.0 -2.727271,53.764832,0.0 -2.728208,53.764832,0.0 -2.729729,53.764828,0.0 -2.731291,53.765352,0.0 -2.730807,53.766354,0.0 -2.730253,53.766524,0.0 -2.729793,53.76617,0.0 -2.729103,53.766496,0.0 -2.729467,53.766944,0.0 -2.730002,53.766796,0.0 -2.73053,53.767114,0.0 -2.728901,53.76841,0.0 -2.730135,53.768491,0.0 -2.729852,53.76876,0.0 -2.730236,53.768966,0.0 -2.729876,53.769271,0.0 -2.729732,53.769223,0.0 -2.727863,53.768508,0.0 -2.727267,53.768247,0.0 -2.725251,53.767196,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025233<br>
<b>LSOA_NAME:</b> Preston 008A<br>
<b>geometry:</b> -2.731291,53.774974,0.0 -2.730216,53.77299,0.0 -2.728941,53.772597,0.0 -2.728577,53.771228,0.0 -2.728451,53.770831,0.0 -2.72913,53.770694,0.0 -2.732431,53.770059,0.0 -2.729876,53.769271,0.0 -2.730236,53.768966,0.0 -2.731144,53.768899,0.0 -2.731218,53.769347,0.0 -2.732229,53.769184,0.0 -2.731957,53.768995,0.0 -2.732314,53.768702,0.0 -2.733515,53.768856,0.0 -2.734287,53.769407,0.0 -2.735952,53.769378,0.0 -2.736285,53.769015,0.0 -2.735276,53.768722,0.0 -2.734479,53.767859,0.0 -2.735542,53.767039,0.0 -2.734969,53.766412,0.0 -2.735171,53.766018,0.0 -2.737259,53.766047,0.0 -2.740336,53.766747,0.0 -2.739579,53.768605,0.0 -2.73958,53.768637,0.0 -2.73941,53.768852,0.0 -2.739409,53.769015,0.0 -2.739458,53.771914,0.0 -2.742014,53.772733,0.0 -2.746225,53.773911,0.0 -2.743985,53.774567,0.0 -2.740388,53.774037,0.0 -2.739154,53.77457,0.0 -2.736972,53.774116,0.0 -2.73667,53.773724,0.0 -2.735942,53.774196,0.0 -2.735619,53.774253,0.0 -2.733064,53.774159,0.0 -2.73267,53.774683,0.0 -2.731291,53.774974,0.0
</div>",E01025233,Preston 008A,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.731291,53.774974,0.0 -2.730216,53.77299,0.0 -2.728941,53.772597,0.0 -2.728577,53.771228,0.0 -2.728451,53.770831,0.0 -2.72913,53.770694,0.0 -2.732431,53.770059,0.0 -2.729876,53.769271,0.0 -2.730236,53.768966,0.0 -2.731144,53.768899,0.0 -2.731218,53.769347,0.0 -2.732229,53.769184,0.0 -2.731957,53.768995,0.0 -2.732314,53.768702,0.0 -2.733515,53.768856,0.0 -2.734287,53.769407,0.0 -2.735952,53.769378,0.0 -2.736285,53.769015,0.0 -2.735276,53.768722,0.0 -2.734479,53.767859,0.0 -2.735542,53.767039,0.0 -2.734969,53.766412,0.0 -2.735171,53.766018,0.0 -2.737259,53.766047,0.0 -2.740336,53.766747,0.0 -2.739579,53.768605,0.0 -2.73958,53.768637,0.0 -2.73941,53.768852,0.0 -2.739409,53.769015,0.0 -2.739458,53.771914,0.0 -2.742014,53.772733,0.0 -2.746225,53.773911,0.0 -2.743985,53.774567,0.0 -2.740388,53.774037,0.0 -2.739154,53.77457,0.0 -2.736972,53.774116,0.0 -2.73667,53.773724,0.0 -2.735942,53.774196,0.0 -2.735619,53.774253,0.0 -2.733064,53.774159,0.0 -2.73267,53.774683,0.0 -2.731291,53.774974,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025234<br>
<b>LSOA_NAME:</b> Preston 007A<br>
<b>geometry:</b> -2.638619,53.795261,0.0 -2.636436,53.795047,0.0 -2.635735,53.795396,0.0 -2.6352,53.795272,0.0 -2.637027,53.792903,0.0 -2.637129,53.792767,0.0 -2.640028,53.790067,0.0 -2.646165,53.787107,0.0 -2.649212,53.784407,0.0 -2.650951,53.783659,0.0 -2.656458,53.782352,0.0 -2.656799,53.782164,0.0 -2.657108,53.781956,0.0 -2.658966,53.779068,0.0 -2.659016,53.778984,0.0 -2.659086,53.77886,0.0 -2.66025,53.779058,0.0 -2.660435,53.779973,0.0 -2.659478,53.780073,0.0 -2.658722,53.780692,0.0 -2.660709,53.78086,0.0 -2.659247,53.781249,0.0 -2.659889,53.781682,0.0 -2.660944,53.782172,0.0 -2.660645,53.782692,0.0 -2.661348,53.783164,0.0 -2.66139,53.783501,0.0 -2.659863,53.783747,0.0 -2.660079,53.784046,0.0 -2.660907,53.784009,0.0 -2.661531,53.784824,0.0 -2.663113,53.784558,0.0 -2.664184,53.785306,0.0 -2.664094,53.785315,0.0 -2.662086,53.785293,0.0 -2.660997,53.785835,0.0 -2.661029,53.786344,0.0 -2.659552,53.786655,0.0 -2.656519,53.786409,0.0 -2.653929,53.786534,0.0 -2.652336,53.786738,0.0 -2.645952,53.791073,0.0 -2.642356,53.793971,0.0 -2.639875,53.79607,0.0 -2.640008,53.795528,0.0 -2.638619,53.795261,0.0
</div>",E01025234,Preston 007A,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.638619,53.795261,0.0 -2.636436,53.795047,0.0 -2.635735,53.795396,0.0 -2.6352,53.795272,0.0 -2.637027,53.792903,0.0 -2.637129,53.792767,0.0 -2.640028,53.790067,0.0 -2.646165,53.787107,0.0 -2.649212,53.784407,0.0 -2.650951,53.783659,0.0 -2.656458,53.782352,0.0 -2.656799,53.782164,0.0 -2.657108,53.781956,0.0 -2.658966,53.779068,0.0 -2.659016,53.778984,0.0 -2.659086,53.77886,0.0 -2.66025,53.779058,0.0 -2.660435,53.779973,0.0 -2.659478,53.780073,0.0 -2.658722,53.780692,0.0 -2.660709,53.78086,0.0 -2.659247,53.781249,0.0 -2.659889,53.781682,0.0 -2.660944,53.782172,0.0 -2.660645,53.782692,0.0 -2.661348,53.783164,0.0 -2.66139,53.783501,0.0 -2.659863,53.783747,0.0 -2.660079,53.784046,0.0 -2.660907,53.784009,0.0 -2.661531,53.784824,0.0 -2.663113,53.784558,0.0 -2.664184,53.785306,0.0 -2.664094,53.785315,0.0 -2.662086,53.785293,0.0 -2.660997,53.785835,0.0 -2.661029,53.786344,0.0 -2.659552,53.786655,0.0 -2.656519,53.786409,0.0 -2.653929,53.786534,0.0 -2.652336,53.786738,0.0 -2.645952,53.791073,0.0 -2.642356,53.793971,0.0 -2.639875,53.79607,0.0 -2.640008,53.795528,0.0 -2.638619,53.795261,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025235<br>
<b>LSOA_NAME:</b> Preston 007B<br>
<b>geometry:</b> -2.673693,53.780179,0.0 -2.672968,53.779615,0.0 -2.671392,53.779647,0.0 -2.669941,53.780115,0.0 -2.669591,53.780544,0.0 -2.668119,53.779804,0.0 -2.667943,53.779495,0.0 -2.665789,53.779474,0.0 -2.666499,53.778542,0.0 -2.663962,53.778259,0.0 -2.666448,53.776865,0.0 -2.668897,53.776007,0.0 -2.669294,53.775361,0.0 -2.670011,53.775094,0.0 -2.67071,53.77475,0.0 -2.671884,53.774173,0.0 -2.674259,53.773012,0.0 -2.673977,53.773267,0.0 -2.674363,53.773126,0.0 -2.674891,53.773424,0.0 -2.676066,53.774674,0.0 -2.677314,53.776186,0.0 -2.678653,53.778017,0.0 -2.678577,53.778032,0.0 -2.678507,53.778043,0.0 -2.673571,53.778153,0.0 -2.672777,53.778395,0.0 -2.674853,53.781242,0.0 -2.67444,53.78132,0.0 -2.673998,53.781392,0.0 -2.673795,53.781094,0.0 -2.673838,53.780657,0.0 -2.673089,53.780389,0.0 -2.673693,53.780179,0.0
</div>",E01025235,Preston 007B,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.673693,53.780179,0.0 -2.672968,53.779615,0.0 -2.671392,53.779647,0.0 -2.669941,53.780115,0.0 -2.669591,53.780544,0.0 -2.668119,53.779804,0.0 -2.667943,53.779495,0.0 -2.665789,53.779474,0.0 -2.666499,53.778542,0.0 -2.663962,53.778259,0.0 -2.666448,53.776865,0.0 -2.668897,53.776007,0.0 -2.669294,53.775361,0.0 -2.670011,53.775094,0.0 -2.67071,53.77475,0.0 -2.671884,53.774173,0.0 -2.674259,53.773012,0.0 -2.673977,53.773267,0.0 -2.674363,53.773126,0.0 -2.674891,53.773424,0.0 -2.676066,53.774674,0.0 -2.677314,53.776186,0.0 -2.678653,53.778017,0.0 -2.678577,53.778032,0.0 -2.678507,53.778043,0.0 -2.673571,53.778153,0.0 -2.672777,53.778395,0.0 -2.674853,53.781242,0.0 -2.67444,53.78132,0.0 -2.673998,53.781392,0.0 -2.673795,53.781094,0.0 -2.673838,53.780657,0.0 -2.673089,53.780389,0.0 -2.673693,53.780179,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025236<br>
<b>LSOA_NAME:</b> Preston 009A<br>
<b>geometry:</b> -2.660435,53.779973,0.0 -2.66025,53.779058,0.0 -2.659086,53.77886,0.0 -2.659107,53.7788,0.0 -2.659645,53.777782,0.0 -2.660969,53.776459,0.0 -2.662594,53.77535,0.0 -2.664592,53.77425,0.0 -2.666786,53.773193,0.0 -2.669294,53.775361,0.0 -2.668897,53.776007,0.0 -2.666448,53.776865,0.0 -2.663962,53.778259,0.0 -2.666499,53.778542,0.0 -2.665789,53.779474,0.0 -2.665849,53.779707,0.0 -2.6648,53.779516,0.0 -2.662886,53.779128,0.0 -2.659889,53.781682,0.0 -2.659247,53.781249,0.0 -2.660709,53.78086,0.0 -2.658722,53.780692,0.0 -2.659478,53.780073,0.0 -2.660435,53.779973,0.0
</div>",E01025236,Preston 009A,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.660435,53.779973,0.0 -2.66025,53.779058,0.0 -2.659086,53.77886,0.0 -2.659107,53.7788,0.0 -2.659645,53.777782,0.0 -2.660969,53.776459,0.0 -2.662594,53.77535,0.0 -2.664592,53.77425,0.0 -2.666786,53.773193,0.0 -2.669294,53.775361,0.0 -2.668897,53.776007,0.0 -2.666448,53.776865,0.0 -2.663962,53.778259,0.0 -2.666499,53.778542,0.0 -2.665789,53.779474,0.0 -2.665849,53.779707,0.0 -2.6648,53.779516,0.0 -2.662886,53.779128,0.0 -2.659889,53.781682,0.0 -2.659247,53.781249,0.0 -2.660709,53.78086,0.0 -2.658722,53.780692,0.0 -2.659478,53.780073,0.0 -2.660435,53.779973,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025237<br>
<b>LSOA_NAME:</b> Preston 007C<br>
<b>geometry:</b> -2.664184,53.785306,0.0 -2.663113,53.784558,0.0 -2.661531,53.784824,0.0 -2.660907,53.784009,0.0 -2.660079,53.784046,0.0 -2.659863,53.783747,0.0 -2.66139,53.783501,0.0 -2.662679,53.783282,0.0 -2.66294,53.784047,0.0 -2.664608,53.783733,0.0 -2.665425,53.783261,0.0 -2.665154,53.782871,0.0 -2.664912,53.782002,0.0 -2.664794,53.781751,0.0 -2.664067,53.781791,0.0 -2.664542,53.781546,0.0 -2.664208,53.781359,0.0 -2.664191,53.781105,0.0 -2.664765,53.781008,0.0 -2.664959,53.781596,0.0 -2.665461,53.78153,0.0 -2.665672,53.781926,0.0 -2.66617,53.781977,0.0 -2.666678,53.781884,0.0 -2.666635,53.781452,0.0 -2.667289,53.781313,0.0 -2.667836,53.781564,0.0 -2.668652,53.781039,0.0 -2.669107,53.781781,0.0 -2.67086,53.781623,0.0 -2.672003,53.781305,0.0 -2.672193,53.780968,0.0 -2.671584,53.78041,0.0 -2.672355,53.780253,0.0 -2.672837,53.781145,0.0 -2.673795,53.781094,0.0 -2.673998,53.781392,0.0 -2.67444,53.78132,0.0 -2.674853,53.781242,0.0 -2.677009,53.780877,0.0 -2.678537,53.782669,0.0 -2.67952,53.783689,0.0 -2.677342,53.784132,0.0 -2.67354,53.783697,0.0 -2.673055,53.783918,0.0 -2.671817,53.783665,0.0 -2.667224,53.785125,0.0 -2.666431,53.785266,0.0 -2.664184,53.785306,0.0
</div>",E01025237,Preston 007C,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.664184,53.785306,0.0 -2.663113,53.784558,0.0 -2.661531,53.784824,0.0 -2.660907,53.784009,0.0 -2.660079,53.784046,0.0 -2.659863,53.783747,0.0 -2.66139,53.783501,0.0 -2.662679,53.783282,0.0 -2.66294,53.784047,0.0 -2.664608,53.783733,0.0 -2.665425,53.783261,0.0 -2.665154,53.782871,0.0 -2.664912,53.782002,0.0 -2.664794,53.781751,0.0 -2.664067,53.781791,0.0 -2.664542,53.781546,0.0 -2.664208,53.781359,0.0 -2.664191,53.781105,0.0 -2.664765,53.781008,0.0 -2.664959,53.781596,0.0 -2.665461,53.78153,0.0 -2.665672,53.781926,0.0 -2.66617,53.781977,0.0 -2.666678,53.781884,0.0 -2.666635,53.781452,0.0 -2.667289,53.781313,0.0 -2.667836,53.781564,0.0 -2.668652,53.781039,0.0 -2.669107,53.781781,0.0 -2.67086,53.781623,0.0 -2.672003,53.781305,0.0 -2.672193,53.780968,0.0 -2.671584,53.78041,0.0 -2.672355,53.780253,0.0 -2.672837,53.781145,0.0 -2.673795,53.781094,0.0 -2.673998,53.781392,0.0 -2.67444,53.78132,0.0 -2.674853,53.781242,0.0 -2.677009,53.780877,0.0 -2.678537,53.782669,0.0 -2.67952,53.783689,0.0 -2.677342,53.784132,0.0 -2.67354,53.783697,0.0 -2.673055,53.783918,0.0 -2.671817,53.783665,0.0 -2.667224,53.785125,0.0 -2.666431,53.785266,0.0 -2.664184,53.785306,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025238<br>
<b>LSOA_NAME:</b> Preston 007D<br>
<b>geometry:</b> -2.66294,53.784047,0.0 -2.662679,53.783282,0.0 -2.66139,53.783501,0.0 -2.661348,53.783164,0.0 -2.660645,53.782692,0.0 -2.660944,53.782172,0.0 -2.659889,53.781682,0.0 -2.662886,53.779128,0.0 -2.6648,53.779516,0.0 -2.665849,53.779707,0.0 -2.665789,53.779474,0.0 -2.667943,53.779495,0.0 -2.668119,53.779804,0.0 -2.669591,53.780544,0.0 -2.669941,53.780115,0.0 -2.671392,53.779647,0.0 -2.672968,53.779615,0.0 -2.673693,53.780179,0.0 -2.673089,53.780389,0.0 -2.673838,53.780657,0.0 -2.673795,53.781094,0.0 -2.672837,53.781145,0.0 -2.672355,53.780253,0.0 -2.671584,53.78041,0.0 -2.672193,53.780968,0.0 -2.672003,53.781305,0.0 -2.67086,53.781623,0.0 -2.669107,53.781781,0.0 -2.668652,53.781039,0.0 -2.667836,53.781564,0.0 -2.667289,53.781313,0.0 -2.666635,53.781452,0.0 -2.666678,53.781884,0.0 -2.66617,53.781977,0.0 -2.665672,53.781926,0.0 -2.665461,53.78153,0.0 -2.664959,53.781596,0.0 -2.664765,53.781008,0.0 -2.664191,53.781105,0.0 -2.664208,53.781359,0.0 -2.664542,53.781546,0.0 -2.664067,53.781791,0.0 -2.664794,53.781751,0.0 -2.664912,53.782002,0.0 -2.665154,53.782871,0.0 -2.665425,53.783261,0.0 -2.664608,53.783733,0.0 -2.66294,53.784047,0.0
</div>",E01025238,Preston 007D,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.66294,53.784047,0.0 -2.662679,53.783282,0.0 -2.66139,53.783501,0.0 -2.661348,53.783164,0.0 -2.660645,53.782692,0.0 -2.660944,53.782172,0.0 -2.659889,53.781682,0.0 -2.662886,53.779128,0.0 -2.6648,53.779516,0.0 -2.665849,53.779707,0.0 -2.665789,53.779474,0.0 -2.667943,53.779495,0.0 -2.668119,53.779804,0.0 -2.669591,53.780544,0.0 -2.669941,53.780115,0.0 -2.671392,53.779647,0.0 -2.672968,53.779615,0.0 -2.673693,53.780179,0.0 -2.673089,53.780389,0.0 -2.673838,53.780657,0.0 -2.673795,53.781094,0.0 -2.672837,53.781145,0.0 -2.672355,53.780253,0.0 -2.671584,53.78041,0.0 -2.672193,53.780968,0.0 -2.672003,53.781305,0.0 -2.67086,53.781623,0.0 -2.669107,53.781781,0.0 -2.668652,53.781039,0.0 -2.667836,53.781564,0.0 -2.667289,53.781313,0.0 -2.666635,53.781452,0.0 -2.666678,53.781884,0.0 -2.66617,53.781977,0.0 -2.665672,53.781926,0.0 -2.665461,53.78153,0.0 -2.664959,53.781596,0.0 -2.664765,53.781008,0.0 -2.664191,53.781105,0.0 -2.664208,53.781359,0.0 -2.664542,53.781546,0.0 -2.664067,53.781791,0.0 -2.664794,53.781751,0.0 -2.664912,53.782002,0.0 -2.665154,53.782871,0.0 -2.665425,53.783261,0.0 -2.664608,53.783733,0.0 -2.66294,53.784047,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025239<br>
<b>LSOA_NAME:</b> Preston 006A<br>
<b>geometry:</b> -2.721782,53.780521,0.0 -2.721548,53.779969,0.0 -2.719697,53.780611,0.0 -2.718922,53.780513,0.0 -2.718511,53.780604,0.0 -2.718246,53.780374,0.0 -2.717062,53.779428,0.0 -2.717084,53.778798,0.0 -2.716111,53.778543,0.0 -2.716145,53.777914,0.0 -2.716566,53.777822,0.0 -2.715874,53.777079,0.0 -2.718658,53.776736,0.0 -2.719515,53.776619,0.0 -2.720217,53.777248,0.0 -2.720333,53.777212,0.0 -2.721646,53.776524,0.0 -2.72173,53.776922,0.0 -2.722347,53.776828,0.0 -2.722952,53.777222,0.0 -2.724394,53.776554,0.0 -2.724602,53.776837,0.0 -2.72494,53.776743,0.0 -2.725623,53.777664,0.0 -2.726047,53.777575,0.0 -2.726496,53.778078,0.0 -2.726961,53.77781,0.0 -2.727922,53.777599,0.0 -2.728197,53.777819,0.0 -2.727119,53.778172,0.0 -2.727402,53.778459,0.0 -2.726097,53.778734,0.0 -2.726284,53.779076,0.0 -2.725901,53.778952,0.0 -2.724551,53.779385,0.0 -2.725086,53.779982,0.0 -2.725468,53.780405,0.0 -2.728262,53.78,0.0 -2.729201,53.780197,0.0 -2.727343,53.781375,0.0 -2.726754,53.78346,0.0 -2.725576,53.783567,0.0 -2.722199,53.783291,0.0 -2.722287,53.782932,0.0 -2.721418,53.782668,0.0 -2.721654,53.78188,0.0 -2.722345,53.781747,0.0 -2.721782,53.780521,0.0
</div>",E01025239,Preston 006A,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.721782,53.780521,0.0 -2.721548,53.779969,0.0 -2.719697,53.780611,0.0 -2.718922,53.780513,0.0 -2.718511,53.780604,0.0 -2.718246,53.780374,0.0 -2.717062,53.779428,0.0 -2.717084,53.778798,0.0 -2.716111,53.778543,0.0 -2.716145,53.777914,0.0 -2.716566,53.777822,0.0 -2.715874,53.777079,0.0 -2.718658,53.776736,0.0 -2.719515,53.776619,0.0 -2.720217,53.777248,0.0 -2.720333,53.777212,0.0 -2.721646,53.776524,0.0 -2.72173,53.776922,0.0 -2.722347,53.776828,0.0 -2.722952,53.777222,0.0 -2.724394,53.776554,0.0 -2.724602,53.776837,0.0 -2.72494,53.776743,0.0 -2.725623,53.777664,0.0 -2.726047,53.777575,0.0 -2.726496,53.778078,0.0 -2.726961,53.77781,0.0 -2.727922,53.777599,0.0 -2.728197,53.777819,0.0 -2.727119,53.778172,0.0 -2.727402,53.778459,0.0 -2.726097,53.778734,0.0 -2.726284,53.779076,0.0 -2.725901,53.778952,0.0 -2.724551,53.779385,0.0 -2.725086,53.779982,0.0 -2.725468,53.780405,0.0 -2.728262,53.78,0.0 -2.729201,53.780197,0.0 -2.727343,53.781375,0.0 -2.726754,53.78346,0.0 -2.725576,53.783567,0.0 -2.722199,53.783291,0.0 -2.722287,53.782932,0.0 -2.721418,53.782668,0.0 -2.721654,53.78188,0.0 -2.722345,53.781747,0.0 -2.721782,53.780521,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
"<div class=""googft-info-window"" style=""font-family:sans-serif"">
<b>LSOA_CODE:</b> E01025240<br>
<b>LSOA_NAME:</b> Preston 008B<br>
<b>geometry:</b> -2.725468,53.780405,0.0 -2.725086,53.779982,0.0 -2.724551,53.779385,0.0 -2.725901,53.778952,0.0 -2.726284,53.779076,0.0 -2.726097,53.778734,0.0 -2.727402,53.778459,0.0 -2.727119,53.778172,0.0 -2.728197,53.777819,0.0 -2.727922,53.777599,0.0 -2.726961,53.77781,0.0 -2.726496,53.778078,0.0 -2.726047,53.777575,0.0 -2.725623,53.777664,0.0 -2.72494,53.776743,0.0 -2.724602,53.776837,0.0 -2.724394,53.776554,0.0 -2.722952,53.777222,0.0 -2.722347,53.776828,0.0 -2.72173,53.776922,0.0 -2.721646,53.776524,0.0 -2.720333,53.777212,0.0 -2.720217,53.777248,0.0 -2.719515,53.776619,0.0 -2.721028,53.77634,0.0 -2.722131,53.775742,0.0 -2.72264,53.7757,0.0 -2.723839,53.775915,0.0 -2.724621,53.775516,0.0 -2.72531,53.775684,0.0 -2.725622,53.775258,0.0 -2.72697,53.775355,0.0 -2.728855,53.77532,0.0 -2.729596,53.775325,0.0 -2.731291,53.774974,0.0 -2.73505,53.777295,0.0 -2.734065,53.778132,0.0 -2.733348,53.778498,0.0 -2.730962,53.779414,0.0 -2.729201,53.780197,0.0 -2.728262,53.78,0.0 -2.725468,53.780405,0.0
</div>",E01025240,Preston 008B,"<Polygon><outerBoundaryIs><LinearRing><coordinates>-2.725468,53.780405,0.0 -2.725086,53.779982,0.0 -2.724551,53.779385,0.0 -2.725901,53.778952,0.0 -2.726284,53.779076,0.0 -2.726097,53.778734,0.0 -2.727402,53.778459,0.0 -2.727119,53.778172,0.0 -2.728197,53.777819,0.0 -2.727922,53.777599,0.0 -2.726961,53.77781,0.0 -2.726496,53.778078,0.0 -2.726047,53.777575,0.0 -2.725623,53.777664,0.0 -2.72494,53.776743,0.0 -2.724602,53.776837,0.0 -2.724394,53.776554,0.0 -2.722952,53.777222,0.0 -2.722347,53.776828,0.0 -2.72173,53.776922,0.0 -2.721646,53.776524,0.0 -2.720333,53.777212,0.0 -2.720217,53.777248,0.0 -2.719515,53.776619,0.0 -2.721028,53.77634,0.0 -2.722131,53.775742,0.0 -2.72264,53.7757,0.0 -2.723839,53.775915,0.0 -2.724621,53.775516,0.0 -2.72531,53.775684,0.0 -2.725622,53.775258,0.0 -2.72697,53.775355,0.0 -2.728855,53.77532,0.0 -2.729596,53.775325,0.0 -2.731291,53.774974,0.0 -2.73505,53.777295,0.0 -2.734065,53.778132,0.0 -2.733348,53.778498,0.0 -2.730962,53.779414,0.0 -2.729201,53.780197,0.0 -2.728262,53.78,0.0 -2.725468,53.780405,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>"
